origin,destination,carrier,class,points
Europe,Central Asia,United Airlines,first,45000
Europe,South Asia,United Airlines,economy,45000
Europe,South Asia,United Airlines,first,85000
Europe,Japan,United Airlines,economy,45000
Europe,Japan,United Airlines,first,65000
Europe,Oceania,United Airlines,economy,60000
Europe,Oceania,United Airlines,first,80000
Middle East,North America,United Airlines,economy,42500
Middle East,North America,United Airlines,first,75000
Middle East,Mexico,United Airlines,economy,45000
Middle East,Mexico,United Airlines,first,75000
Middle East,Caribbean,United Airlines,economy,45000
Middle East,Caribbean,United Airlines,first,75000
Middle East,Central America,United Airlines,economy,45000
Middle East,Central America,United Airlines,first,75000
Middle East,Northern South America,United Airlines,economy,50000
Middle East,Northern South America,United Airlines,first,75000
Middle East,Southern South America,United Airlines,economy,60000
Middle East,Southern South America,United Airlines,first,80000
Middle East,Europe,United Airlines,economy,25000
Middle East,Europe,United Airlines,first,40000
Middle East,Middle East,United Airlines,economy,8000
Middle East,Middle East,United Airlines,first,30000
Middle East,Northern Africa,United Airlines,economy,27500
Middle East,Northern Africa,United Airlines,first,42500
Middle East,Central & Southern Africa,United Airlines,economy,30000
Middle East,Central & Southern Africa,United Airlines,first,45000
Middle East,North Asia,United Airlines,economy,40000
Middle East,North Asia,United Airlines,first,55000
Middle East,Central Asia,United Airlines,economy,22500
Middle East,Central Asia,United Airlines,first,35000
Middle East,South Asia,United Airlines,economy,35000
Middle East,South Asia,United Airlines,first,50000
Middle East,Japan,United Airlines,economy,40000
Middle East,Japan,United Airlines,first,55000
Middle East,Oceania,United Airlines,economy,45000
Middle East,Oceania,United Airlines,first,65000
Northern Africa,North America,United Airlines,economy,40000
Northern Africa,North America,United Airlines,first,70000
Northern Africa,Mexico,United Airlines,economy,50000
Northern Africa,Mexico,United Airlines,first,80000
Northern Africa,Caribbean,United Airlines,economy,50000
Northern Africa,Caribbean,United Airlines,first,80000
Northern Africa,Central America,United Airlines,economy,50000
Northern Africa,Central America,United Airlines,first,80000
Northern Africa,Northern South America,United Airlines,economy,55000
Northern Africa,Northern South America,United Airlines,first,80000
Northern Africa,Southern South America,United Airlines,economy,30000
Northern Africa,Southern South America,United Airlines,first,87500
Northern Africa,Europe,United Airlines,economy,25000
Northern Africa,Europe,United Airlines,first,40000
Northern Africa,Middle East,United Airlines,economy,27500
Northern Africa,Middle East,United Airlines,first,42500
Northern Africa,Northern Africa,United Airlines,economy,8000
Northern Africa,Northern Africa,United Airlines,first,30000
Northern Africa,Central & Southern Africa,United Airlines,economy,20000
Northern Africa,Central & Southern Africa,United Airlines,first,35000
Northern Africa,North Asia,United Airlines,economy,45000
Northern Africa,North Asia,United Airlines,first,65000
Northern Africa,Central Asia,United Airlines,economy,30000
Northern Africa,Central Asia,United Airlines,first,45000
Northern Africa,South Asia,United Airlines,economy,45000
Northern Africa,South Asia,United Airlines,first,85000
Northern Africa,Japan,United Airlines,economy,45000
Northern Africa,Japan,United Airlines,first,65000
Northern Africa,Oceania,United Airlines,economy,45000
Northern Africa,Oceania,United Airlines,first,65000
Central & Southern Africa,North America,United Airlines,economy,40000
Central & Southern Africa,North America,United Airlines,first,70000
Central & Southern Africa,Mexico,United Airlines,economy,55000
Central & Southern Africa,Mexico,United Airlines,first,85000
Central & Southern Africa,Caribbean,United Airlines,economy,55000
Central & Southern Africa,Caribbean,United Airlines,first,85000
Central & Southern Africa,Central America,United Airlines,economy,55000
Central & Southern Africa,Central America,United Airlines,first,85000
Central & Southern Africa,Northern South America,United Airlines,economy,60000
Central & Southern Africa,Northern South America,United Airlines,first,85000
